,benchmark,target,total_iterations,threads,workers,messages_per_worker,write_percentage,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,num_workers,size,threshold,priorities,solution_limit,precision,data_size,max_value,seed,pings,rounds,smokers,messages,columns,simulations,channels,actors,accounts,transactions,block_size,max_edge_weight,size_percentage,terms,series,start_rate,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,grid_size
28,Philosophers,lf-c,12,3,,,,adaptive,49.606,104.513,49.7225,54.274750000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
29,All-Pairs Shortest Path,lf-c,12,6,,,,GEDF_NP,140.623,143.938,142.26049999999998,142.41049999999998,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
30,Chameneos,lf-c,12,3,,,,GEDF_NP,312.723,316.134,314.59749999999997,314.39983333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
31,Precise Pi Computation,lf-c,12,6,20.0,,,adaptive,73.386,74.782,74.194,74.19091666666667,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Producer Consumer (bounded),lf-c,12,24,,,,adaptive,144.344,153.408,150.224,149.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
33,Recursive Matrix Multiplication,lf-c,12,24,20.0,,,adaptive,92.047,100.403,95.28999999999999,96.00458333333334,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
34,Fork Join (throughput),lf-c,12,3,,,,NP,93.804,100.652,96.833,97.07216666666666,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bank Transaction,lf-c,12,6,,,,NP,88.118,92.191,90.939,90.668,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chameneos,lf-c,12,3,,,,NP,237.331,243.834,240.90550000000002,240.56666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
37,Concurrent Dictionary,lf-c,12,24,20.0,10000.0,10.0,NP,285.507,397.68,336.322,337.2183333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Producer Consumer (bounded),lf-c,12,6,,,,GEDF_NP,116.383,117.586,117.08949999999999,117.05966666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
39,Chameneos,lf-c,12,6,,,,GEDF_NP,321.781,341.353,335.876,335.09041666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
40,Ping Pong,lf-c,12,3,,,,adaptive,106.849,107.711,106.8785,106.94883333333333,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Fork Join (throughput),lf-c,12,6,,,,GEDF_NP,223.932,295.955,257.3915,261.09675,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fork Join (throughput),lf-c,12,24,,,,adaptive,26.602,1442.354,114.059,494.5817499999999,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Radix Sort,lf-c,12,6,,,,GEDF_NP,535.398,537.43,536.8205,536.7483333333333,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,NQueens first N solutions,lf-c,12,6,,,,adaptive,237.591,244.446,239.85899999999998,240.1084166666667,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Chameneos,lf-c,12,24,,,,adaptive,410.235,1376.259,964.5440000000001,980.6382500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
46,Thread Ring,lf-c,12,24,,,,adaptive,95.657,98.333,95.69,95.93691666666666,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bank Transaction,lf-c,12,24,,,,adaptive,103.445,107.998,106.146,105.89291666666666,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Filter Bank,lf-c,12,6,,,,adaptive,195.911,461.657,195.972,218.13224999999997,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Counting Actor,lf-c,12,6,,,,NP,241.981,243.008,242.07049999999998,242.13783333333336,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Thread Ring,lf-c,12,3,,,,adaptive,91.051,94.196,91.12899999999999,91.46625,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Trapezoidal Approximation,lf-c,12,3,100.0,,,adaptive,68.652,70.385,68.96799999999999,69.09008333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
52,Recursive Matrix Multiplication,lf-c,12,3,20.0,,,adaptive,90.607,97.012,91.17500000000001,92.26583333333333,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
53,Ping Pong,lf-c,12,6,,,,NP,94.305,95.123,94.3595,94.41500000000002,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Cigarette Smokers,lf-c,12,24,,,,GEDF_NP,1.843,1.889,1.8479999999999999,1.8510000000000002,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Concurrent Dictionary,lf-c,12,24,20.0,10000.0,10.0,GEDF_NP,302.005,409.171,360.344,363.6705833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Counting Actor,lf-c,12,24,,,,GEDF_NP,367.752,368.791,367.97950000000003,368.0810833333333,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Fork Join (throughput),lf-c,12,3,,,,adaptive,26.553,30.886,26.6205,26.968750000000004,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Philosophers,lf-c,12,24,,,,GEDF_NP,398.323,591.184,510.3215,501.4824999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
59,Bank Transaction,lf-c,12,24,,,,GEDF_NP,94.743,97.999,96.04400000000001,96.13274999999999,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,All-Pairs Shortest Path,lf-c,12,24,,,,adaptive,202.925,208.331,204.936,204.94916666666666,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
61,Big,lf-c,12,24,,,,GEDF_NP,271.779,282.331,277.91650000000004,277.39108333333337,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Big,lf-c,12,6,,,,NP,212.65,216.081,214.35750000000002,214.53116666666673,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Bank Transaction,lf-c,12,24,,,,NP,91.511,96.363,93.229,93.7455,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Logistic Map Series,lf-c,12,3,,,,adaptive,45.338,54.044,45.466499999999996,46.189083333333336,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
65,Sleeping Barber,lf-c,12,24,,,,GEDF_NP,75.285,77.063,75.46,75.58716666666666,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
66,Philosophers,lf-c,12,24,,,,adaptive,48.923,5090.696,49.0115,663.0542500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
67,Philosophers,lf-c,12,6,,,,GEDF_NP,388.608,483.086,451.129,447.70399999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
68,Concurrent Dictionary,lf-c,12,3,20.0,10000.0,10.0,NP,157.085,166.675,161.3155,161.60783333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Concurrent Sorted Linked List,lf-c,12,3,20.0,1500.0,10.0,NP,201.404,259.402,225.778,223.68949999999998,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
70,NQueens first N solutions,lf-c,12,3,,,,adaptive,232.813,249.096,235.67700000000002,237.93125,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Concurrent Dictionary,lf-c,12,3,20.0,10000.0,10.0,adaptive,74.62,79.61,79.107,78.46249999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Sleeping Barber,lf-c,12,6,,,,GEDF_NP,75.285,76.019,75.35900000000001,75.43925,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
73,Concurrent Dictionary,lf-c,12,24,20.0,10000.0,10.0,adaptive,76.764,1482.724,646.133,768.8562499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Logistic Map Series,lf-c,12,24,,,,GEDF_NP,638.953,959.849,720.5835,746.2930833333334,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
75,Counting Actor,lf-c,12,3,,,,adaptive,250.569,252.181,250.6725,250.80974999999998,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Fork Join (throughput),lf-c,12,6,,,,NP,137.333,225.796,170.737,173.42016666666666,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Logistic Map Series,lf-c,12,6,,,,adaptive,45.528,315.132,45.633,68.09566666666667,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
78,NQueens first N solutions,lf-c,12,24,,,,NP,229.023,231.249,230.1175,230.11341666666667,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Big,lf-c,12,3,,,,adaptive,205.979,215.743,207.8225,208.65791666666667,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Precise Pi Computation,lf-c,12,3,20.0,,,adaptive,71.33,73.391,72.024,72.12816666666667,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,NQueens first N solutions,lf-c,12,3,,,,GEDF_NP,217.389,222.189,218.4595,218.55999999999997,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Concurrent Sorted Linked List,lf-c,12,24,20.0,1500.0,10.0,adaptive,400.341,432.937,426.422,423.24066666666675,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
83,Big,lf-c,12,24,,,,NP,239.997,253.097,247.051,246.37425,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Fork Join (throughput),lf-c,12,3,,,,GEDF_NP,128.548,158.82,152.10000000000002,150.77716666666666,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Concurrent Sorted Linked List,lf-c,12,6,20.0,1500.0,10.0,NP,213.879,264.389,227.3585,231.78741666666664,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
86,Recursive Matrix Multiplication,lf-c,12,6,20.0,,,GEDF_NP,91.105,97.655,95.40199999999999,95.18,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
87,Filter Bank,lf-c,12,24,,,,adaptive,195.519,2643.813,195.5735,399.63599999999997,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Trapezoidal Approximation,lf-c,12,24,100.0,,,GEDF_NP,68.92,70.593,69.568,69.65724999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
89,Ping Pong,lf-c,12,6,,,,GEDF_NP,146.107,147.295,146.1395,146.2435,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Recursive Matrix Multiplication,lf-c,12,3,20.0,,,GEDF_NP,90.038,97.888,91.2655,92.75099999999999,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
