,benchmark,target,total_iterations,threads,workers,messages_per_worker,write_percentage,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,num_workers,size,threshold,priorities,solution_limit,precision,data_size,max_value,seed,pings,rounds,smokers,messages,columns,simulations,channels,actors,accounts,transactions,block_size,max_edge_weight,size_percentage,terms,series,start_rate,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,grid_size
126,Thread Ring,lf-c,12,6,,,,GEDF_NP,140.34,141.403,140.48000000000002,140.58716666666666,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,A-Star Search,lf-c,12,3,,,,NP,396.292,971.452,491.864,548.0658461538461,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
128,Cigarette Smokers,lf-c,12,24,,,,adaptive,1.867,2.106,1.881,1.9229166666666666,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Cigarette Smokers,lf-c,12,24,,,,NP,1.728,1.966,1.7345000000000002,1.7533333333333332,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Ping Pong,lf-c,12,24,,,,adaptive,106.799,107.602,106.821,106.90033333333334,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Cigarette Smokers,lf-c,12,3,,,,NP,1.728,1.845,1.733,1.7418333333333331,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Philosophers,lf-c,12,6,,,,adaptive,48.326,148.725,48.482,56.8045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
133,A-Star Search,lf-c,12,3,,,,GEDF_NP,41.186,989.259,524.262,663.3001538461539,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
134,NQueens first N solutions,lf-c,12,3,,,,NP,217.888,218.919,218.3295,218.37641666666664,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Trapezoidal Approximation,lf-c,12,6,100.0,,,NP,68.842,69.283,68.89349999999999,68.97416666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
136,Logistic Map Series,lf-c,12,6,,,,GEDF_NP,570.223,766.857,722.442,706.7716666666666,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
137,Producer Consumer (bounded),lf-c,12,6,,,,NP,115.381,116.537,115.953,115.96208333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
138,Thread Ring,lf-c,12,24,,,,NP,80.773,80.918,80.81,80.82175,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Counting Actor,lf-c,12,6,,,,GEDF_NP,368.184,369.66,368.284,368.47783333333336,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Ping Pong,lf-c,12,6,,,,adaptive,106.773,109.132,106.863,107.06191666666666,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Chameneos,lf-c,12,6,,,,NP,255.968,269.89,267.7605,266.5394166666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
142,Concurrent Dictionary,lf-c,12,6,20.0,10000.0,10.0,GEDF_NP,285.876,341.75,330.6245,325.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Radix Sort,lf-c,12,24,,,,NP,367.835,369.394,368.70950000000005,368.80899999999997,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Philosophers,lf-c,12,3,,,,NP,205.446,212.52,208.64249999999998,208.6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
145,Fork Join (throughput),lf-c,12,6,,,,adaptive,26.769,64.122,26.794,29.91433333333333,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Cigarette Smokers,lf-c,12,6,,,,NP,1.73,2.028,1.7455,1.8334166666666665,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Filter Bank,lf-c,12,3,,,,adaptive,194.964,206.673,195.231,196.14075,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Trapezoidal Approximation,lf-c,12,3,100.0,,,NP,68.904,69.569,69.1495,69.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
149,A-Star Search,lf-c,12,6,,,,NP,121.863,615.151,461.458,425.48838461538463,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
150,Recursive Matrix Multiplication,lf-c,12,3,20.0,,,NP,91.505,98.784,94.1095,94.53658333333334,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
151,Bank Transaction,lf-c,12,6,,,,adaptive,93.931,105.805,96.175,96.97166666666668,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Logistic Map Series,lf-c,12,6,,,,NP,432.475,588.988,511.9165,508.71875,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
153,NQueens first N solutions,lf-c,12,6,,,,GEDF_NP,222.206,226.55,223.073,223.30933333333337,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,A-Star Search,lf-c,12,24,,,,NP,82.597,598.912,519.685,472.22523076923085,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
155,Concurrent Sorted Linked List,lf-c,12,6,20.0,1500.0,10.0,adaptive,191.317,268.507,192.57850000000002,205.05808333333334,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
156,Producer Consumer (bounded),lf-c,12,3,,,,NP,113.884,129.026,114.3345,115.55941666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
157,Counting Actor,lf-c,12,3,,,,GEDF_NP,367.57,368.179,367.995,367.941,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Filter Bank,lf-c,12,24,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Producer Consumer (bounded),lf-c,12,3,,,,adaptive,113.42,117.008,114.3035,114.55725000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
160,Bank Transaction,lf-c,12,3,,,,GEDF_NP,91.44,94.423,93.26650000000001,93.23891666666667,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
161,All-Pairs Shortest Path,lf-c,12,6,,,,NP,139.067,143.959,141.162,141.16408333333334,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
162,Sleeping Barber,lf-c,12,3,,,,NP,74.387,78.799,74.47649999999999,74.85308333333332,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
163,Thread Ring,lf-c,12,3,,,,GEDF_NP,140.383,144.048,140.4405,140.79983333333334,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,All-Pairs Shortest Path,lf-c,12,3,,,,adaptive,136.215,141.303,137.57,137.99966666666666,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
165,Concurrent Sorted Linked List,lf-c,12,3,20.0,1500.0,10.0,adaptive,190.644,197.91,192.637,192.71258333333333,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
166,Recursive Matrix Multiplication,lf-c,12,24,20.0,,,GEDF_NP,95.623,99.291,96.4605,96.77858333333332,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
167,Big,lf-c,12,3,,,,NP,208.571,216.177,211.9905,211.75041666666667,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Precise Pi Computation,lf-c,12,6,20.0,,,NP,71.738,73.141,72.08500000000001,72.16841666666666,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Big,lf-c,12,3,,,,GEDF_NP,230.995,240.67,233.5965,234.40958333333333,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Sleeping Barber,lf-c,12,24,,,,NP,74.295,75.984,74.5325,74.85183333333333,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
171,Radix Sort,lf-c,12,3,,,,NP,368.613,370.489,369.57849999999996,369.6331666666667,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Big,lf-c,12,6,,,,adaptive,223.892,231.31,225.1845,225.57033333333334,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Trapezoidal Approximation,lf-c,12,24,100.0,,,adaptive,69.073,80.212,69.69749999999999,70.71741666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
174,Recursive Matrix Multiplication,lf-c,12,6,20.0,,,adaptive,89.527,95.104,91.026,91.67891666666667,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
175,Concurrent Dictionary,lf-c,12,6,20.0,10000.0,10.0,adaptive,76.915,78.925,78.2125,78.06258333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,A-Star Search,lf-c,12,6,,,,adaptive,438.677,949.336,566.049,608.6399230769231,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
177,Radix Sort,lf-c,12,24,,,,GEDF_NP,533.541,536.455,535.4725000000001,535.38175,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Precise Pi Computation,lf-c,12,3,20.0,,,GEDF_NP,70.707,85.565,71.164,72.52775,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Filter Bank,lf-c,12,3,,,,NP,911.825,993.329,946.2525,946.0127499999999,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Philosophers,lf-c,12,6,,,,NP,337.073,431.895,392.541,388.0898333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
181,Logistic Map Series,lf-c,12,3,,,,GEDF_NP,417.168,463.515,451.923,450.001,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
182,Philosophers,lf-c,12,24,,,,NP,348.398,526.206,411.68399999999997,427.5419166666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
183,Recursive Matrix Multiplication,lf-c,12,24,20.0,,,NP,93.584,99.194,97.837,97.52975000000002,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
184,Producer Consumer (bounded),lf-c,12,24,,,,GEDF_NP,118.668,122.875,120.8955,121.02783333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
185,Filter Bank,lf-c,12,3,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,A-Star Search,lf-c,12,6,,,,GEDF_NP,164.897,634.284,543.439,485.7812307692308,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
187,A-Star Search,lf-c,12,24,,,,adaptive,99.551,430.643,374.147,362.6958461538461,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
188,Thread Ring,lf-c,12,6,,,,NP,80.404,80.806,80.4455,80.48983333333334,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,NQueens first N solutions,lf-c,12,24,,,,GEDF_NP,229.602,237.231,231.4535,232.16425,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,A-Star Search,lf-c,12,3,,,,adaptive,257.708,1024.46,417.028,451.5368461538461,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
191,Fork Join (throughput),lf-c,12,24,,,,GEDF_NP,254.948,304.797,280.83500000000004,282.273,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Logistic Map Series,lf-c,12,24,,,,adaptive,45.663,606.698,45.760000000000005,92.50558333333333,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
193,Radix Sort,lf-c,12,6,,,,adaptive,521.6,525.213,524.5525,524.3711666666667,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Bank Transaction,lf-c,12,3,,,,NP,86.341,92.74,88.84700000000001,89.01950000000001,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Sleeping Barber,lf-c,12,6,,,,NP,74.322,74.685,74.3965,74.4295,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
196,Producer Consumer (bounded),lf-c,12,6,,,,adaptive,117.139,119.888,117.939,117.99041666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
197,Bank Transaction,lf-c,12,6,,,,GEDF_NP,89.312,96.452,91.0155,91.64391666666666,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
