,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
27,A-Star Search,lf-cpp,12,2,,master,[],default,100.538,1062.68,910.0229999999999,760.1340833333334,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
28,Producer Consumer (bounded),lf-cpp,12,18,,master,[],default,164.381,187.553,176.489,175.52599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
29,NQueens first N solutions,lf-cpp,12,18,,master,[],default,421.856,457.699,427.071,429.38566666666674,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
30,Filter Bank,lf-cpp,12,2,,master,[],default,549.464,572.232,566.673,564.9185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
31,Ping Pong,lf-cpp,12,2,,master,[],default,126.648,127.36,127.2295,127.14041666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
32,Counting Actor,lf-cpp,12,9,1000000.0,master,[],default,320.721,322.83,321.39,321.44708333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Producer Consumer (bounded),lf-cpp,12,9,,master,[],default,174.553,214.124,189.559,191.8538333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
34,Fork Join (throughput),lf-cpp,12,2,10000.0,master,[],default,48.0607,52.5374,50.35185,50.49512500000001,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,All-Pairs Shortest Path,lf-cpp,12,2,,master,[],default,260.681,264.725,261.67449999999997,261.9624166666667,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A-Star Search,lf-cpp,12,4,,master,[],default,201.946,522.141,450.43,433.04008333333326,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
37,Radix Sort,lf-cpp,12,9,,master,[],default,412.885,420.929,414.2395,415.36241666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
38,Thread Ring,lf-cpp,12,4,,master,[],default,177.593,177.811,177.675,177.68175,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
39,Radix Sort,lf-cpp,12,4,,master,[],default,402.23,410.547,406.0955,406.49533333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
40,Ping Pong,lf-cpp,12,4,,master,[],default,130.1,130.535,130.20800000000003,130.27108333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
41,Fork Join (throughput),lf-cpp,12,4,10000.0,master,[],default,27.0411,28.2297,27.496650000000002,27.515091666666667,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fork Join (throughput),lf-cpp,12,9,10000.0,master,[],default,27.1772,28.2681,27.6128,27.663425000000004,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Trapezoidal Approximation,lf-cpp,12,18,,master,[],default,68.8858,70.0207,69.1387,69.30971666666667,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
44,Trapezoidal Approximation,lf-cpp,12,9,,master,[],default,69.019,71.3835,69.36054999999999,69.52929166666667,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
45,Recursive Matrix Multiplication,lf-cpp,12,18,,master,[],default,84.7334,89.4416,86.1468,86.63848333333334,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Concurrent Dictionary,lf-cpp,12,9,,master,[],default,84.142,92.7901,90.3577,89.53115833333334,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
47,Big,lf-cpp,12,9,500.0,master,[],default,286.394,298.059,292.217,292.5339166666667,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,All-Pairs Shortest Path,lf-cpp,12,18,,master,[],default,342.412,375.113,358.4775,356.6035,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Ping Pong,lf-cpp,12,9,,master,[],default,132.971,134.052,133.6265,133.45866666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
50,Concurrent Sorted Linked List,lf-cpp,12,18,,master,[],default,206.645,247.212,210.916,214.14999999999998,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
51,Producer Consumer (bounded),lf-cpp,12,4,,master,[],default,168.397,193.259,184.61950000000002,181.4128333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
52,A-Star Search,lf-cpp,12,18,,master,[],default,170.308,608.421,476.119,445.14641666666665,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
53,Big,lf-cpp,12,18,500.0,master,[],default,285.037,311.686,291.30600000000004,292.13100000000003,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Big,lf-cpp,12,2,500.0,master,[],default,210.97,293.15,214.07999999999998,225.38141666666664,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Philosophers,lf-cpp,12,9,,master,[],default,84.0413,88.6636,85.51795,85.71855833333335,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NQueens first N solutions,lf-cpp,12,9,,master,[],default,410.898,444.14,423.4225,425.3873333333333,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
57,Thread Ring,lf-cpp,12,18,,master,[],default,188.718,189.312,188.9915,189.01016666666666,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
58,Concurrent Sorted Linked List,lf-cpp,12,9,,master,[],default,202.184,229.973,205.538,207.52625,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
59,Trapezoidal Approximation,lf-cpp,12,4,,master,[],default,68.8834,85.6041,69.22235,70.655325,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
60,Filter Bank,lf-cpp,12,9,,master,[],default,272.816,279.025,276.032,275.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
61,Philosophers,lf-cpp,12,18,,master,[],default,84.2221,86.329,85.55075,85.466325,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sleeping Barber,lf-cpp,12,18,,master,[],default,93.8708,96.1714,94.11685,94.37415833333334,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,All-Pairs Shortest Path,lf-cpp,12,9,,master,[],default,393.456,428.409,409.536,410.56675,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Thread Ring,lf-cpp,12,2,,master,[],default,176.027,176.167,176.0635,176.0811666666667,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
65,Concurrent Sorted Linked List,lf-cpp,12,4,,master,[],default,205.6,223.239,206.95,208.45966666666666,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
