,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,actors,pings,num_workers,block_size,max_edge_weight,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,eating_rounds,philosophers,workers,data_length,block_threshold,priorities,precision,messages,pieces,left,right,terms,series,start_rate,accounts,transactions,data_size,max_value,seed,size,threshold,solution_limit,messages_per_worker,write_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,grid_size,size_percentage,columns,simulations,channels
118,Big,lf-c,12,18,,,GEDF_NP,254.308,260.923,257.0825,257.2940833333333,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
119,Concurrent Dictionary,lf-c,12,4,,,GEDF_NP,250.531,270.359,260.9185,261.85016666666667,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
120,A-Star Search,lf-c,12,4,,,GEDF_NP,387.214,542.974,439.303,444.8623076923077,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
121,Ping Pong,lf-c,12,2,,,adaptive,106.87,107.208,106.8945,106.92308333333334,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,A-Star Search,lf-c,12,18,,,adaptive,116.275,532.441,368.788,351.95899999999995,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
123,Chameneos,lf-c,12,4,,,GEDF_NP,315.063,326.708,320.5505,320.59516666666667,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,NQueens first N solutions,lf-c,12,4,,,NP,222.269,237.797,223.0995,224.63108333333335,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
125,A-Star Search,lf-c,12,2,,,GEDF_NP,39.902,915.09,413.971,521.6721538461538,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
126,A-Star Search,lf-c,12,4,,,adaptive,346.936,1026.665,490.502,539.2154615384616,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
127,Thread Ring,lf-c,12,2,,,adaptive,91.416,94.028,91.533,91.72325,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Filter Bank,lf-c,12,2,,,NP,589.228,633.094,630.608,627.5313333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
129,Trapezoidal Approximation,lf-c,12,9,,,adaptive,68.624,69.373,68.9475,68.96208333333333,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
130,Recursive Matrix Multiplication,lf-c,12,9,,,adaptive,90.813,104.602,91.55850000000001,93.31116666666667,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Cigarette Smokers,lf-c,12,4,1000.0,200.0,adaptive,1.766,1.937,1.7999999999999998,1.806416666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Big,lf-c,12,9,,,GEDF_NP,238.484,243.525,241.33249999999998,241.10508333333334,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
133,Thread Ring,lf-c,12,4,,,GEDF_NP,140.776,141.872,140.8705,140.96758333333335,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Radix Sort,lf-c,12,2,,,GEDF_NP,532.688,535.255,534.8285,534.7102500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
135,All-Pairs Shortest Path,lf-c,12,18,,,adaptive,170.639,196.348,172.618,175.87908333333334,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Fork Join (throughput),lf-c,12,4,,,NP,124.203,156.166,150.6805,147.1905833333333,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
137,Cigarette Smokers,lf-c,12,9,1000.0,200.0,adaptive,1.799,2.318,1.8685,1.9702499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Philosophers,lf-c,12,18,,,GEDF_NP,378.15,496.223,417.375,426.1619166666667,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Philosophers,lf-c,12,9,,,GEDF_NP,336.224,433.514,393.202,389.34425000000005,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Logistic Map Series,lf-c,12,18,,,adaptive,45.749,2692.573,45.816500000000005,292.7956666666666,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
141,Chameneos,lf-c,12,9,,,GEDF_NP,346.399,355.048,350.3355,350.53608333333324,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Recursive Matrix Multiplication,lf-c,12,9,,,GEDF_NP,93.591,103.856,99.0755,98.98016666666668,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ping Pong,lf-c,12,4,,,GEDF_NP,146.162,146.968,146.1745,146.2655,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Sleeping Barber,lf-c,12,9,,,NP,74.323,74.78,74.3615,74.42675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
145,All-Pairs Shortest Path,lf-c,12,18,,,NP,147.356,152.888,149.44299999999998,149.56541666666666,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Counting Actor,lf-c,12,9,,,NP,241.784,242.658,242.137,242.17516666666666,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
147,Thread Ring,lf-c,12,4,,,adaptive,91.329,93.48,91.403,91.58158333333334,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Producer Consumer (bounded),lf-c,12,9,,,adaptive,120.367,124.668,124.0075,123.00025,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Thread Ring,lf-c,12,18,,,adaptive,91.576,93.808,91.6115,91.93149999999999,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Concurrent Dictionary,lf-c,12,18,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
151,Filter Bank,lf-c,12,9,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
152,Radix Sort,lf-c,12,18,,,GEDF_NP,536.223,539.135,538.2845,538.14225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
153,Ping Pong,lf-c,12,9,,,GEDF_NP,146.094,147.364,146.159,146.26308333333336,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Precise Pi Computation,lf-c,12,18,,,NP,74.976,77.781,75.988,76.03991666666666,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Precise Pi Computation,lf-c,12,2,,,adaptive,71.336,74.763,71.57300000000001,71.86716666666668,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Counting Actor,lf-c,12,2,,,NP,241.441,242.961,241.92000000000002,241.88516666666666,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,Fork Join (throughput),lf-c,12,4,,,GEDF_NP,151.164,196.565,188.5495,184.27141666666668,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
158,Recursive Matrix Multiplication,lf-c,12,18,,,NP,95.096,101.157,97.96950000000001,98.07000000000001,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Concurrent Dictionary,lf-c,12,9,,,GEDF_NP,331.387,425.447,408.122,398.16641666666663,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
160,Sleeping Barber,lf-c,12,18,,,adaptive,75.996,77.441,76.62049999999999,76.63349999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
161,Chameneos,lf-c,12,18,,,adaptive,983.986,1016.237,989.6804999999999,993.3190833333333,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Counting Actor,lf-c,12,2,,,adaptive,250.114,250.267,250.17200000000003,250.17841666666666,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
163,Radix Sort,lf-c,12,2,,,NP,368.299,370.357,369.9685,369.85200000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
164,A-Star Search,lf-c,12,2,,,NP,146.042,1086.446,455.926,490.36815384615386,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
165,Counting Actor,lf-c,12,4,,,adaptive,250.822,251.457,250.88850000000002,250.96158333333332,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
166,Radix Sort,lf-c,12,4,,,NP,368.827,370.816,370.2645,370.1984166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
167,Bank Transaction,lf-c,12,4,,,adaptive,95.634,138.062,101.767,104.40133333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
168,Philosophers,lf-c,12,2,,,NP,135.616,142.248,136.6085,137.24958333333333,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Big,lf-c,12,4,,,GEDF_NP,243.16,247.72,245.968,245.93341666666666,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
170,Concurrent Sorted Linked List,lf-c,12,18,,,GEDF_NP,397.391,454.06,414.4845,421.003,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
171,Chameneos,lf-c,12,9,,,adaptive,241.469,602.846,429.702,415.3260833333334,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Fork Join (throughput),lf-c,12,9,,,NP,127.791,185.601,176.9355,170.46858333333333,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
173,Producer Consumer (bounded),lf-c,12,18,,,adaptive,132.245,146.253,133.16500000000002,134.8649166666667,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Producer Consumer (bounded),lf-c,12,2,,,adaptive,112.844,118.577,113.27250000000001,114.20833333333331,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Radix Sort,lf-c,12,9,,,NP,370.094,371.263,370.8615,370.7273333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
176,Chameneos,lf-c,12,2,,,adaptive,128.921,146.407,129.363,130.86866666666668,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Producer Consumer (bounded),lf-c,12,9,,,NP,113.745,115.356,114.2075,114.34141666666669,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Concurrent Sorted Linked List,lf-c,12,9,,,adaptive,193.404,302.491,269.6725,267.3759166666667,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
179,Fork Join (throughput),lf-c,12,18,,,GEDF_NP,233.793,291.391,265.7315,266.31375,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
180,Thread Ring,lf-c,12,2,,,GEDF_NP,140.736,142.335,140.8945,141.04308333333333,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Filter Bank,lf-c,12,4,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
182,Concurrent Dictionary,lf-c,12,18,,,NP,321.124,388.208,346.37149999999997,350.28566666666666,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
183,Sleeping Barber,lf-c,12,9,,,adaptive,76.211,76.677,76.41300000000001,76.43133333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
184,Counting Actor,lf-c,12,9,,,GEDF_NP,367.514,368.254,367.58000000000004,367.7776666666667,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,Trapezoidal Approximation,lf-c,12,18,,,NP,69.076,69.869,69.3655,69.39866666666667,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
186,Philosophers,lf-c,12,18,,,NP,308.615,486.659,432.264,422.57858333333337,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Chameneos,lf-c,12,18,,,NP,298.437,307.49,302.0075,302.97550000000007,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Philosophers,lf-c,12,4,,,GEDF_NP,284.491,351.988,335.158,332.4029166666667,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,NQueens first N solutions,lf-c,12,2,,,NP,217.122,223.399,217.99149999999997,218.5634166666667,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
190,Cigarette Smokers,lf-c,12,4,1000.0,200.0,GEDF_NP,1.845,2.156,1.8555000000000001,1.9348333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,All-Pairs Shortest Path,lf-c,12,2,,,adaptive,133.932,150.971,135.252,137.05325000000002,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Filter Bank,lf-c,12,18,,,adaptive,195.087,3869.208,195.16000000000003,583.15975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
193,Concurrent Sorted Linked List,lf-c,12,9,,,NP,281.333,329.734,314.584,310.30816666666664,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
194,Big,lf-c,12,9,,,adaptive,242.092,269.743,243.9905,245.94466666666668,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
195,Producer Consumer (bounded),lf-c,12,18,,,NP,115.288,118.562,116.57650000000001,116.56891666666665,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Ping Pong,lf-c,12,9,,,NP,94.291,94.655,94.34649999999999,94.40591666666666,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Filter Bank,lf-c,12,2,,,GEDF_NP,802.727,827.507,823.1175000000001,821.8271666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
198,Fork Join (throughput),lf-c,12,18,,,NP,136.599,196.125,176.195,171.99816666666666,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
199,NQueens first N solutions,lf-c,12,18,,,adaptive,255.874,273.721,259.1095,259.9484166666666,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
200,A-Star Search,lf-c,12,18,,,GEDF_NP,317.687,604.262,522.476,514.3056153846154,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
201,Bank Transaction,lf-c,12,18,,,NP,97.872,102.903,100.34549999999999,100.02875000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
202,Concurrent Dictionary,lf-c,12,9,,,adaptive,74.501,576.521,78.47649999999999,135.1101666666667,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
203,Ping Pong,lf-c,12,9,,,adaptive,106.853,107.128,106.879,106.90016666666666,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Fork Join (throughput),lf-c,12,2,,,adaptive,27.01,28.721,27.0525,27.194333333333333,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
205,Concurrent Dictionary,lf-c,12,2,,,NP,119.134,147.974,144.1055,141.28933333333333,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
206,Precise Pi Computation,lf-c,12,18,,,GEDF_NP,75.839,81.636,76.798,77.30783333333332,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Sleeping Barber,lf-c,12,4,,,adaptive,75.147,75.656,75.19800000000001,75.25958333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
208,NQueens first N solutions,lf-c,12,4,,,GEDF_NP,221.051,224.497,221.937,222.18025000000003,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
209,Philosophers,lf-c,12,9,,,NP,338.339,483.444,397.8935,408.1148333333333,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,NQueens first N solutions,lf-c,12,9,,,NP,224.328,230.224,225.124,225.87608333333333,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
211,Ping Pong,lf-c,12,4,,,NP,94.277,94.834,94.3185,94.39125,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,NQueens first N solutions,lf-c,12,2,,,GEDF_NP,217.327,220.295,218.0625,218.19525,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
213,Producer Consumer (bounded),lf-c,12,2,,,GEDF_NP,113.71,116.355,114.06200000000001,114.25816666666667,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Bank Transaction,lf-c,12,2,,,GEDF_NP,95.159,98.945,96.459,96.98191666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
215,Counting Actor,lf-c,12,9,,,adaptive,249.041,249.732,249.0915,249.16408333333334,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
216,Sleeping Barber,lf-c,12,2,,,GEDF_NP,75.358,75.511,75.428,75.43200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
217,Chameneos,lf-c,12,4,,,adaptive,128.121,204.556,128.9125,138.97291666666666,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Fork Join (throughput),lf-c,12,2,,,GEDF_NP,129.504,136.069,132.5095,132.73108333333332,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
219,Trapezoidal Approximation,lf-c,12,9,,,GEDF_NP,68.904,69.745,69.1345,69.23341666666667,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
220,Concurrent Dictionary,lf-c,12,18,,,GEDF_NP,324.824,410.873,363.4855,367.67924999999997,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
221,Radix Sort,lf-c,12,4,,,GEDF_NP,533.451,536.443,535.942,535.7632500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
222,A-Star Search,lf-c,12,9,,,GEDF_NP,118.178,603.208,571.885,503.7823076923077,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
223,NQueens first N solutions,lf-c,12,9,,,GEDF_NP,224.836,244.282,226.11,227.69266666666667,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
224,Precise Pi Computation,lf-c,12,9,,,adaptive,78.565,80.205,79.071,79.14625000000001,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Logistic Map Series,lf-c,12,18,,,GEDF_NP,582.51,846.649,766.4839999999999,756.5486666666666,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
226,Thread Ring,lf-c,12,9,,,adaptive,91.193,93.337,91.21799999999999,91.39908333333334,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Logistic Map Series,lf-c,12,2,,,GEDF_NP,276.558,288.908,280.95849999999996,281.15774999999996,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
228,Sleeping Barber,lf-c,12,9,,,GEDF_NP,75.217,75.756,75.344,75.39824999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
229,All-Pairs Shortest Path,lf-c,12,9,,,NP,141.543,148.264,142.9555,143.4513333333333,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Logistic Map Series,lf-c,12,18,,,NP,532.578,710.133,604.7055,614.0875,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
231,Filter Bank,lf-c,12,4,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
232,NQueens first N solutions,lf-c,12,4,,,adaptive,232.691,246.284,233.5735,234.81566666666666,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
233,A-Star Search,lf-c,12,18,,,NP,93.897,589.527,546.086,482.4662307692307,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
234,Cigarette Smokers,lf-c,12,18,1000.0,200.0,NP,1.736,2.045,1.742,1.7865833333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Fork Join (throughput),lf-c,12,9,,,adaptive,26.569,373.451,26.605,58.854666666666674,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
236,All-Pairs Shortest Path,lf-c,12,4,,,NP,138.161,157.249,138.546,140.2421666666667,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Thread Ring,lf-c,12,9,,,NP,82.698,83.073,82.779,82.81349999999999,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Trapezoidal Approximation,lf-c,12,18,,,adaptive,68.602,69.864,69.19200000000001,69.258,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
239,Ping Pong,lf-c,12,18,,,GEDF_NP,146.112,147.701,146.1585,146.29975,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Concurrent Sorted Linked List,lf-c,12,18,,,NP,411.665,482.203,438.746,438.7774166666666,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
241,Concurrent Dictionary,lf-c,12,9,,,NP,282.574,385.933,366.66650000000004,352.05299999999994,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
242,Recursive Matrix Multiplication,lf-c,12,18,,,GEDF_NP,91.751,99.995,96.07400000000001,95.95183333333334,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Concurrent Sorted Linked List,lf-c,12,2,,,adaptive,190.697,194.201,192.3195,192.35108333333332,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
244,A-Star Search,lf-c,12,4,,,NP,297.892,978.393,518.243,541.3980769230769,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
245,Sleeping Barber,lf-c,12,2,,,adaptive,75.226,75.871,75.3105,75.36616666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
246,Ping Pong,lf-c,12,2,,,GEDF_NP,146.063,146.564,146.1225,146.15175000000002,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Fork Join (throughput),lf-c,12,2,,,NP,57.376,61.999,60.088,60.03783333333334,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
248,Filter Bank,lf-c,12,4,,,adaptive,195.912,203.886,195.9715,196.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
