,benchmark,target,total_iterations,threads,actors,pings,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,num_workers,grid_size,priorities,threshold,messages,data_size,max_value,seed,workers,messages_per_worker,write_percentage,size_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,terms,series,start_rate,pieces,left,right,accounts,transactions,data_length,block_threshold,rounds,smokers,columns,simulations,channels,block_size,max_edge_weight,precision,size,solution_limit,eating_rounds,philosophers
27,Cigarette Smokers,lf-cpp,12,6,,,master,[],default,9.0777,13.0969,9.4579,10.189033333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
28,All-Pairs Shortest Path,lf-cpp,12,24,,,master,[],default,355.49,410.774,372.56949999999995,375.59525,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
29,Precise Pi Computation,lf-cpp,12,24,,,master,[],default,111.664,130.515,119.441,119.51566666666668,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
30,Recursive Matrix Multiplication,lf-cpp,12,6,,,master,[],default,76.0978,83.3527,78.48320000000001,78.76499166666666,,,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
31,NQueens first N solutions,lf-cpp,12,24,,,master,[],default,411.319,438.164,424.8145,423.3576666666667,,,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
32,Filter Bank,lf-cpp,12,6,,,master,[],default,265.569,290.299,272.202,275.3835000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
33,A-Star Search,lf-cpp,12,3,,,master,[],default,156.312,523.707,314.3865,316.4871666666666,,,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A-Star Search,lf-cpp,12,6,,,master,[],default,265.137,650.784,362.53549999999996,380.45183333333335,,,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Logistic Map Series,lf-cpp,12,3,,,master,[],default,133.001,161.962,154.00549999999998,152.75483333333335,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
36,Fork Join (throughput),lf-cpp,12,6,60.0,,master,[],default,27.8077,30.5442,29.16455,29.12909166666667,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Radix Sort,lf-cpp,12,24,,,master,[],default,455.81,483.686,464.1165,465.959,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Filter Bank,lf-cpp,12,24,,,master,[],default,278.086,288.689,282.06899999999996,282.30383333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
39,Philosophers,lf-cpp,12,24,,,master,[],default,87.8104,104.412,90.7401,92.4332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
40,Cigarette Smokers,lf-cpp,12,3,,,master,[],default,9.16411,10.5024,9.34936,9.662856666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
41,Trapezoidal Approximation,lf-cpp,12,3,,,master,[],default,76.2138,85.7873,82.14435,82.11428333333335,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
42,Fork Join (throughput),lf-cpp,12,24,60.0,,master,[],default,28.3709,31.1678,29.67795,29.669008333333334,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Counting Actor,lf-cpp,12,24,,,master,[],default,378.812,394.723,383.7965,384.22808333333336,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Counting Actor,lf-cpp,12,3,,,master,[],default,319.101,332.604,321.726,323.2873333333334,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Precise Pi Computation,lf-cpp,12,6,,,master,[],default,136.293,150.225,143.526,144.03324999999998,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
46,Philosophers,lf-cpp,12,6,,,master,[],default,87.5463,96.6012,90.3438,90.70965833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
47,Ping Pong,lf-cpp,12,6,,300000.0,master,[],default,139.423,152.803,141.8055,142.93925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Counting Actor,lf-cpp,12,6,,,master,[],default,332.147,369.688,337.03999999999996,340.4016666666666,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Producer Consumer (bounded),lf-cpp,12,6,,,master,[],default,206.48,233.149,217.0805,217.36691666666664,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Radix Sort,lf-cpp,12,6,,,master,[],default,413.52,438.426,418.22400000000005,420.8034166666667,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NQueens first N solutions,lf-cpp,12,6,,,master,[],default,396.884,446.208,415.31,418.97724999999997,,,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
52,Philosophers,lf-cpp,12,3,,,master,[],default,178.777,240.986,219.332,215.10308333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
53,Big,lf-cpp,12,3,120.0,,master,[],default,204.332,228.571,214.4015,215.8846666666667,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bank Transaction,lf-cpp,12,3,,,master,[],default,175.251,202.505,180.10649999999998,181.93191666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
55,Concurrent Dictionary,lf-cpp,12,3,,,master,[],default,145.912,168.379,157.312,157.679,,,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NQueens first N solutions,lf-cpp,12,3,,,master,[],default,353.855,404.493,369.202,372.2538333333334,,,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
57,Concurrent Dictionary,lf-cpp,12,24,,,master,[],default,92.4456,102.388,96.2443,97.18075,,,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,All-Pairs Shortest Path,lf-cpp,12,6,,,master,[],default,398.21,435.502,414.952,415.8283333333333,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
59,Precise Pi Computation,lf-cpp,12,3,,,master,[],default,93.1341,101.313,96.90225,96.76059166666666,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
60,Logistic Map Series,lf-cpp,12,24,,,master,[],default,65.0082,69.2375,67.2695,67.20680833333333,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
61,Recursive Matrix Multiplication,lf-cpp,12,24,,,master,[],default,76.0702,83.3568,78.7137,79.03261666666667,,,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
62,Sleeping Barber,lf-cpp,12,3,,,master,[],default,186.357,203.832,193.0005,193.32991666666666,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
63,Concurrent Dictionary,lf-cpp,12,6,,,master,[],default,88.6526,97.0789,91.11064999999999,91.83464166666666,,,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Big,lf-cpp,12,6,120.0,,master,[],default,254.971,272.839,264.4715,264.0896666666667,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Bank Transaction,lf-cpp,12,6,,,master,[],default,181.89,201.014,191.2495,192.1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
