,benchmark,target,total_iterations,threads,workers,data_length,block_threshold,priorities,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,precision,num_workers,block_size,max_edge_weight,rounds,smokers,actors,pings,columns,simulations,channels,eating_rounds,philosophers,messages,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,messages_per_worker,write_percentage,data_size,max_value,seed,haircuts,waiting_room_size,production_rate,haircut_rate,size_percentage,pieces,left,right,size,threshold,solution_limit,grid_size,accounts,transactions,terms,series,start_rate
27,Fork Join (throughput),lf-cpp,12,1,,,,,master,[],default,26.328,27.1446,26.457349999999998,26.507099999999994,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Precise Pi Computation,lf-cpp,12,12,20.0,,,,master,[],default,92.3224,105.236,98.92305,99.19525833333331,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A-Star Search,lf-cpp,12,12,,,,30.0,master,[],default,248.537,888.126,430.04650000000004,452.32441666666665,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,30.0,,,,,
30,Cigarette Smokers,lf-cpp,12,12,,,,,master,[],default,8.98984,9.15984,8.99784,9.014723333333334,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Counting Actor,lf-cpp,12,12,,,,,master,[],default,332.445,333.414,332.563,332.69725000000005,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ping Pong,lf-cpp,12,1,,,,,master,[],default,122.554,134.154,123.21549999999999,124.64341666666665,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bank Transaction,lf-cpp,12,1,,,,,master,[],default,199.766,221.834,204.04649999999998,207.02516666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,
34,Logistic Map Series,lf-cpp,12,1,,,,,master,[],default,59.1935,59.4314,59.341499999999996,59.33795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46
35,Philosophers,lf-cpp,12,1,,,,,master,[],default,81.718,82.0628,81.828,81.844325,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Trapezoidal Approximation,lf-cpp,12,12,100.0,,,,master,[],default,68.9939,70.241,69.3134,69.43157500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,
37,Counting Actor,lf-cpp,12,1,,,,,master,[],default,285.376,321.193,285.8345,290.49241666666666,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sleeping Barber,lf-cpp,12,12,,,,,master,[],default,91.7281,92.0499,91.75475,91.79124166666666,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
39,Logistic Map Series,lf-cpp,12,12,,,,,master,[],default,61.9265,63.6317,62.82795,62.833425000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46
40,Ping Pong,lf-cpp,12,12,,,,,master,[],default,137.081,137.519,137.14749999999998,137.17666666666665,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bank Transaction,lf-cpp,12,12,,,,,master,[],default,114.567,125.732,122.872,121.37058333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,
