,benchmark,target,total_iterations,threads,workers,data_length,block_threshold,priorities,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,precision,num_workers,block_size,max_edge_weight,rounds,smokers,actors,pings,columns,simulations,channels,eating_rounds,philosophers,messages,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,messages_per_worker,write_percentage,data_size,max_value,seed,haircuts,waiting_room_size,production_rate,haircut_rate,size_percentage,pieces,left,right,size,threshold,solution_limit,grid_size,accounts,transactions,terms,series,start_rate
0,Recursive Matrix Multiplication,lf-cpp,12,1,20.0,512.0,16384.0,10.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Precise Pi Computation,lf-cpp,12,1,20.0,,,,master,[],default,inf,inf,inf,inf,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,All-Pairs Shortest Path,lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cigarette Smokers,lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thread Ring,lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Filter Bank,lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Philosophers,lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Big,lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Big,lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thread Ring,lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Producer Consumer (bounded),lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
11,Recursive Matrix Multiplication,lf-cpp,12,12,20.0,512.0,16384.0,10.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Concurrent Dictionary,lf-cpp,12,1,20.0,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
13,All-Pairs Shortest Path,lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Radix Sort,lf-cpp,12,1,,,,,master,[],default,393.945,inf,398.41150000000005,inf,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
15,Sleeping Barber,lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
16,Producer Consumer (bounded),lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
17,Concurrent Sorted Linked List,lf-cpp,12,12,20.0,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
18,Radix Sort,lf-cpp,12,12,,,,,master,[],default,425.07,inf,428.572,inf,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
19,Trapezoidal Approximation,lf-cpp,12,1,100.0,,,,master,[],default,137.066,inf,137.11599999999999,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,
20,Concurrent Sorted Linked List,lf-cpp,12,1,20.0,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
21,NQueens first N solutions,lf-cpp,12,1,,,,10.0,master,[],default,inf,inf,inf,inf,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
22,Fork Join (throughput),lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Concurrent Dictionary,lf-cpp,12,12,20.0,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
24,NQueens first N solutions,lf-cpp,12,12,,,,10.0,master,[],default,inf,inf,inf,inf,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
25,Filter Bank,lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A-Star Search,lf-cpp,12,1,,,,30.0,master,[],default,inf,inf,inf,inf,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,30.0,,,,,
27,Fork Join (throughput),lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Precise Pi Computation,lf-cpp,12,12,20.0,,,,master,[],default,inf,inf,inf,inf,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A-Star Search,lf-cpp,12,12,,,,30.0,master,[],default,inf,inf,inf,inf,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,30.0,,,,,
30,Cigarette Smokers,lf-cpp,12,12,,,,,master,[],default,inf,inf,inf,inf,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Counting Actor,lf-cpp,12,12,,,,,master,[],default,332.384,inf,333.6935,inf,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ping Pong,lf-cpp,12,1,,,,,master,[],default,inf,inf,inf,inf,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
